vid,occlusion_accuracy,survival,median_traj_error,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,num_frames,num_points
goat,1.0,100.0,1.7085674285888672,0.24719101123595505,0.14102564084483893,0.6337078651685393,0.4638157887108293,0.8943820224719101,0.8089430877867011,1.0,0.999999997752809,1.0,0.999999997752809,0.6827569025695974,0.7550561797752808,90.0,5.0
car-roundabout,0.7764127764127764,85.16042780748663,12.81940945712003,0.3160377358490566,0.20426829237154223,0.5377358490566038,0.3982300877907432,0.6155660377358491,0.4711359395323353,0.714622641509434,0.5490196067666282,0.7900943396226415,0.6089613022220748,0.4463230457366647,0.594811320754717,75.0,11.0
motocross-jump,0.9184149184149184,100.0,2.817468123002486,0.25316455696202533,0.16597510304574647,0.45569620253164556,0.3444976060071885,0.7278481012658228,0.662721889569693,0.8481012658227848,0.7784810077311328,0.9493670886075949,0.7784810077311328,0.5460313228169787,0.6468354430379748,40.0,11.0
breakdance,0.9334480780263913,96.76793794440854,3.650453839983259,0.21821164889253486,0.12083903323263155,0.616078753076292,0.43323615135088267,0.9253486464315013,0.8343283575863221,0.9729286300246104,0.9098679091609417,0.9835931091058244,0.9098679091609417,0.641627872098344,0.7432321575061526,84.0,21.0
drift-chicane,0.9206349206349206,100.0,0.7210929961431594,0.7773359840954275,0.603421460958909,0.8687872763419483,0.7212020021348882,0.9383697813121272,0.8183421502322008,0.9602385685884692,0.847670249376935,0.9681908548707754,0.847670249376935,0.7676612224159737,0.9025844930417495,52.0,21.0
drift-straight,0.9795918367346939,100.0,1.0043634573618572,0.6059782608695652,0.418386490772258,0.7961956521739131,0.6328293722833059,0.9375,0.8394160563517857,0.9972826086956522,0.9384615360552269,1.0,0.9384615360552269,0.7535109983035607,0.8673913043478262,50.0,24.0
judo,0.8787878787878788,91.58958001063264,10.855304718017578,0.3169811320754717,0.18701007817804022,0.5792452830188679,0.3984168860179197,0.8377358490566038,0.7069243144816033,0.9169811320754717,0.8244406182023397,0.9547169811320755,0.8339100331593252,0.5901403860078457,0.7211320754716981,34.0,24.0
soapbox,0.8316326530612245,93.59654062293814,4.100482940673828,0.3919222139117427,0.26844262281329784,0.5938668661181751,0.46508875712124925,0.75018698578908,0.6572958496269773,0.8107703814510098,0.7206393323692568,0.8593866866118175,0.7498233210248598,0.5722579765911282,0.6812266267763649,99.0,20.0
dogs-jump,0.9587044534412955,99.83552631578947,2.1856392308285364,0.2522982635342186,0.14393939385551316,0.6455566905005107,0.47483095381304957,0.9438202247191011,0.8856868387265255,0.9765066394279878,0.9435643555014215,0.9856996935648621,0.949354517428645,0.6794752118650309,0.760776302349336,66.0,19.0
parkour,0.6713804713804714,83.722842404384,21.72738037109375,0.06915629322268327,0.04854368927325855,0.2033195020746888,0.15755626992759242,0.343015214384509,0.28571428537414967,0.44951590594744123,0.3267813263798755,0.6473029045643154,0.34495641301997954,0.23271039679497116,0.34246196403872753,100.0,15.0
india,0.901,100.0,3.132143249511719,0.34194528875379937,0.21549636793438434,0.5889057750759878,0.4285714283275063,0.8138297872340425,0.7051630429992098,0.8768996960486323,0.8018664746576694,0.8898176291793313,0.8031609189632464,0.5908516465764033,0.7022796352583587,81.0,25.0
pigs,0.8034188034188035,100.0,2.9063984553019204,0.2585139318885449,0.15398886813173573,0.5681114551083591,0.4136363631663223,0.7445820433436533,0.5969191263197444,0.8513931888544891,0.6833558854081788,0.9504643962848297,0.7253814136957262,0.5146563313443415,0.6746130030959752,79.0,12.0
